mm,mdd,dd,hr,Temp,VPD,"Wind speed",Precip,P,O3,LAI,HD,R,PAR
,,,,C,kPa,"m s-1",mm,kPa,ppb,"m2 m-2","W m-2",Wm-2,"umol m-2 s-1"
1,1,1,0,-0.9,0.05142,1.3,0.023,100.62,30.756,2.45e-10,-38.7,0,0
1,1,1,1,-0.73,0.05797,1.25,0.023,100.62,28.571,2.45e-10,-36.6,0,0
1,1,1,2,-0.81,0.05392,1.19,0.023,100.62,27.448,2.45e-10,-34.5,0,0
1,1,1,3,-0.69,0.05955,1.14,0.017,100.54,26.85,2.45e-10,-32.4,0,0
1,1,1,4,-0.82,0.05122,1.16,0.017,100.6,26.976,2.45e-10,-29.5,0,0
1,1,1,5,-0.75,0.05206,1.17,0.017,100.58,27.334,2.45e-10,-26.6,0,0
1,1,1,6,-1.36,0.02487,1.18,0.01,100.57,27.875,2.45e-10,-23.7,0,0
1,1,1,7,-0.92,0.04805,1.09,0.01,100.55,27.446,2.45e-10,-25.5,0,0
1,1,1,8,-1.14,0.04451,0.99,0.01,100.56,26.65,2.45e-10,-27.3,0,0
1,1,1,9,0.5,0.12369,0.88,0.003,100.53,25.252,2.45e-10,-29.1,5.4,11.1051
1,1,1,10,-0.74,0.04024,0.91,0.003,100.56,27.843,2.45e-10,-18.97,91.03,187.203195
1,1,1,11,-0.12,0.04525,0.94,0.003,100.55,29.401,2.45e-10,-8.83,158.54,326.03751
1,1,1,12,0.88,0.07499,0.97,0.053,100.45,30.165,2.45e-10,1.3,174.71,359.291115
1,1,1,13,0.63,0.05697,0.95,0.053,100.51,29.491,2.45e-10,-3.5,157.93,324.783045
1,1,1,14,0.76,0.05845,0.94,0.053,100.49,28.167,2.45e-10,-8.3,101.29,208.302885
1,1,1,15,-0.71,0,0.95,0.003,100.31,26.29,2.45e-10,-13.1,18.52,38.08638
1,1,1,16,0.36,0.04478,0.86,0.003,100.42,23.643,2.45e-10,-15.5,0,0
1,1,1,17,-0.17,0.03352,0.76,0.003,100.37,20.906,2.45e-10,-17.9,0,0
1,1,1,18,-1.8,0,0.62,0,100.21,17.444,2.45e-10,-20.3,0,0
1,1,1,19,-1.06,0.03466,0.53,0,100.29,14.129,2.45e-10,-18.47,0,0
1,1,1,20,-1.43,0.03186,0.48,0,100.25,11.282,2.45e-10,-16.63,0,0
1,1,1,21,-0.44,0.08532,0.46,0.01,100.03,8.612,2.45e-10,-14.8,0,0
1,1,1,22,-1.33,0.0281,0.52,0.01,100.17,8.438,2.45e-10,-15.1,0,0
1,1,1,23,-0.88,0.03237,0.58,0.01,100.11,9.91,2.45e-10,-15.4,0,0
1,2,2,0,0.69,0.09061,0.63,0.38,99.8,12.026,0,-15.7,0,0
1,2,2,1,-0.04,0.03624,0.74,0.38,99.98,15.844,0,-12.53,0,0
1,2,2,2,0.33,0.03428,0.82,0.38,99.9,19.299,0,-9.37,0,0
1,2,2,3,1.56,0.07537,0.9,0.383,99.55,21.628,0,-6.2,0,0
1,2,2,4,1,0.03333,0.81,0.383,99.74,22.157,0,-6.33,0,0
1,2,2,5,1.29,0.034,0.72,0.383,99.66,21.818,0,-6.47,0,0
1,2,2,6,-1.07,0,0.66,0.123,99.77,21.066,0,-6.6,0,0
1,2,2,7,0.66,0.03493,0.4,0.123,99.6,18.592,0,-4.33,0,0
1,2,2,8,-0.21,0.03044,0.16,0.123,99.67,13.997,0,-2.07,0,0
1,2,2,9,0.26,0.09308,0.11,0,99.8,17.132,0,0.2,2.82,5.79933
1,2,2,10,-0.63,0.03985,0.22,0,99.78,21.231,0,8.4,44.72,91.96668
1,2,2,11,-0.19,0.04067,0.36,0,99.79,22.594,0,16.6,77.46,159.29649
1,2,2,12,1.68,0.10933,0.49,0.025,99.89,23.808,0,24.8,129.85,267.036525
1,2,2,13,0.73,0.0426,0.63,0.025,99.82,24.63,0,16.13,117.88,242.42022
1,2,2,14,1.2,0.04471,0.75,0.025,99.85,25.623,0,7.47,76.4,157.1166
1,2,2,15,1.82,0.05499,0.84,0.054,99.89,26.519,0,-1.2,12.5,25.70625
1,2,2,16,1.73,0.04593,0.87,0.054,99.89,27.2,0,-5.9,0,0
1,2,2,17,1.77,0.04498,0.91,0.054,99.89,27.446,0,-10.6,0,0
1,2,2,18,1.36,0.02285,0.95,0,99.72,27.404,0,-15.3,0,0
1,2,2,19,1.68,0.04298,0.95,0,99.85,27.12,0,-23.17,0,0
1,2,2,20,1.53,0.04241,0.94,0,99.8,26.827,0,-31.03,0,0
1,2,2,21,0.85,0.0186,0.94,0.003,99.64,26.224,0,-38.9,0,0
1,2,2,22,1.2,0.04292,0.97,0.003,99.7,25.727,0,-40.13,0,0
1,2,2,23,1.03,0.04333,0.99,0.003,99.68,25.331,0,-41.37,0,0
1,3,3,0,0.85,0.04362,1.02,0.013,99.63,25.202,0,-42.6,0,0
1,3,3,1,0.85,0.04393,0.98,0.013,99.64,25.195,0,-35.13,0,0
1,3,3,2,0.85,0.04424,0.96,0.013,99.63,25.233,0,-27.67,0,0
1,3,3,3,0.52,0.02972,0.96,0.003,99.64,25.093,0,-20.2,0,0
1,3,3,4,0.74,0.04393,0.94,0.003,99.63,24.36,0,-19.83,0,0
1,3,3,5,0.63,0.04291,0.93,0.003,99.64,23.465,0,-19.47,0,0
1,3,3,6,-0.04,0.01628,0.92,0,99.72,22.618,0,-19.1,0,0
1,3,3,7,0.33,0.04156,0.91,0,99.66,21.984,0,-22.7,0,0
1,3,3,8,0.14,0.04182,0.91,0,99.68,21.961,0,-26.3,0,0
1,3,3,9,1.47,0.1133,0.91,0,99.67,22.344,0,-29.9,6.28,12.91482
1,3,3,10,0.47,0.0394,1.03,0,99.71,24.618,0,-20.33,94.25,193.825125
1,3,3,11,0.97,0.04582,1.11,0,99.69,26.571,0,-10.77,162.78,334.75707
1,3,3,12,0.5,0.0113,1.18,0.074,99.62,28.042,0,-1.2,176.02,361.98513
1,3,3,13,1.15,0.05555,1.28,0.074,99.66,28.763,0,-6.87,160.17,329.389605
1,3,3,14,0.83,0.05471,1.4,0.074,99.64,29.241,0,-12.53,104.89,215.706285
1,3,3,15,-0.53,0.00895,1.52,0.011,99.51,29.71,0,-18.2,22.44,46.14786
1,3,3,16,0.17,0.0506,1.5,0.011,99.6,29.568,0,-25.6,0,0
1,3,3,17,-0.18,0.04785,1.47,0.011,99.56,29.254,0,-33,0,0
