"mm","mdd","dd","hr","Ts_c","VPD","precip","uh","O3_ppb_zR","Rn_MJ","P_kPa","PAR"
4,16,106,1,2.72701,0.125922095,0,5.16329,30,0,99.38,0
4,16,106,2,2.4516,0.094428189,0,4.29077,30,0,99.51,0
4,16,106,3,2.82508,0.125431695,0,3.89794,30,0,99.66,0
4,16,106,4,2.82653,0.140797565,0,3.89516,30,0,99.76,0
4,16,106,5,2.81918,0.132864357,0,3.35222,30,0,99.88,4.45474917
4,16,106,6,2.81911,0.1316159,0,2.9433,30,0,99.97,40.05959175
4,16,106,7,2.8372,0.135783228,0,3.81979,30,0.14326956,100.07,245.908044
4,16,106,8,3.44305,0.185043235,0,4.53409,30,0.4160376,100.18,362.5959105
4,16,106,9,4.07961,0.235015838,0,4.61583,30,0.7742808,100.28,710.2678005
4,16,106,10,4.70921,0.301114866,0,4.7859,30,0.8308008,100.38,742.0160475
4,16,106,11,5.43573,0.367424738,0,4.83855,30,0.7949088,100.44,635.832783
4,16,106,12,6.86599,0.457434291,0,4.51356,30,1.4469336,100.47,1078.648646
4,16,106,13,6.94643,0.501053289,0,3.46646,30,0.931608,100.51,776.456253
4,16,106,14,7.51842,0.548126565,0,3.51728,30,1.1560248,100.54,962.0944515
4,16,106,15,7.77347,0.556290374,0,2.64301,30,1.0185408,100.55,847.533006
4,16,106,16,7.9075,0.591194839,0,2.96929,30,0.6825888,100.58,658.273311
4,16,106,17,8.03954,0.628378352,0,2.79514,30,0.4455036,100.59,508.3729695
4,16,106,18,7.57693,0.580267818,0,2.19947,30,0,100.63,187.5982487
4,16,106,19,6.79068,0.509779852,0,2.08639,30,0,100.68,38.09810205
4,16,106,20,6.65448,0.514614429,0,2.0972,30,0,100.73,0
4,16,106,21,4.74823,0.343181703,0,2.64069,30,0,100.79,0
4,16,106,22,3.27439,0.245250058,0,2.61148,30,0,100.78,0
4,16,106,23,2.42606,0.189846481,0,1.53943,30,0,100.79,0
4,16,106,24,2.45787,0.184077336,0,1.49814,30,0,100.75,0
4,17,107,1,2.46816,0.165840459,0.835833333,0.779065,30,0,100.73,0
4,17,107,2,1.378,0.074153406,0.835833333,1.23944,30,0,100.73,0
4,17,107,3,1.07299,0.09169327,0.835833333,1.54968,30,0,100.72,0
4,17,107,4,0.712156,0.050939568,0.835833333,1.28813,30,0,100.69,0
4,17,107,5,-0.156704,0.045203485,0.835833333,1.9334,30,0,100.67,23.1714081
4,17,107,6,-0.622367,0.054394577,0.835833333,1.59725,30,0.019529748,100.67,169.7459778
4,17,107,7,0.627371,0.089103958,0.835833333,2.06459,30,0.13352724,100.65,217.0532925
4,17,107,8,1.85361,0.128081748,0.835833333,1.99205,30,0.6439176,100.63,566.783739
4,17,107,9,2.54351,0.159516593,0.835833333,1.53746,30,0.360486,100.64,307.578366
4,17,107,10,3.45266,0.201742006,0.835833333,2.63223,30,0.3100212,100.58,266.320863
4,17,107,11,4.55814,0.25611689,0.835833333,3.73585,30,0.7443324,100.5,560.5340355
4,17,107,12,4.74941,0.295816023,0.835833333,3.42883,30,0.3773268,100.45,299.331801
4,17,107,13,3.51232,0.146377387,0.835833333,3.99251,30,0.25795656,100.41,202.6913135
4,17,107,14,2.50186,0.050371678,0.835833333,3.65722,30,0.17851104,100.34,137.7980447
4,17,107,15,1.94218,0.025896572,0.835833333,3.65638,30,0.11184804,100.27,87.56577
4,17,107,16,1.41888,0.01670295,0.835833333,4.35624,30,0.06098868,100.16,51.79480335
4,17,107,17,0.632863,0.012368446,0.835833333,4.14584,30,0.04821876,100.07,40.22575695
4,17,107,18,-0.131874,0.009077302,0.835833333,3.42491,30,0.021370896,99.97,18.08496383
4,17,107,19,0.197462,0.007128249,0.835833333,4.84502,30,0,99.88,3.12497514
4,17,107,20,0.161482,0.006182272,0.835833333,4.07745,30,0,99.79,0.13305555
4,17,107,21,-0.47489,0.005311594,0.835833333,4.69432,30,0,99.68,0
4,17,107,22,-0.126951,0.005448337,0.835833333,4.8548,30,0,99.56,0
4,17,107,23,0.383842,0.005654724,0.835833333,4.12148,30,0,99.49,0
4,17,107,24,0.102171,0.004924512,0.835833333,3.67486,30,0,99.41,0
4,18,108,1,0.0136,0.003975438,0.984166667,3.69021,30,0,99.34,0
4,18,108,2,-0.112024,0.003131359,0.984166667,3.90772,30,0,99.28,0
4,18,108,3,-0.245873,0.003000696,0.984166667,3.69541,30,0,99.21,0
4,18,108,4,0.227153,0.002484751,0.984166667,3.46234,30,0,99.17,0
4,18,108,5,-0.0617,0.002433034,0.984166667,3.54394,30,0,99.14,0
4,18,108,6,0.0414,0.002451383,0.984166667,3.66277,30,0.0131706,99.08,9.175465485
4,18,108,7,0.480666,0.002003872,0.984166667,3.18455,30,0.03627828,99.01,25.59828375
4,18,108,8,0.725736,0.001288155,0.984166667,3.22169,30,0.04609368,98.93,33.344091
4,18,108,9,0.865611,0.000325316,0.984166667,3.38896,30,0.06254964,98.88,39.9265362
4,18,108,10,1.80037,0,0.984166667,3.20521,30,0.1000998,98.82,77.3264565
4,18,108,11,1.8323,0,0.984166667,2.70877,30,0.13135536,98.75,99.86631345
4,18,108,12,3.29916,0,0.984166667,2.70524,30,0.14945508,98.68,113.4632745
4,18,108,13,3.08185,0,0.984166667,2.4423,30,0.13459644,98.63,105.0190799
4,18,108,14,3.36363,0,0.984166667,2.33969,30,0.2025468,98.58,155.9828516
