mm,mdd,dd,hr,Temp,VPD,"Wind speed",Precip,P,O3,HD,R,PAR
,,,,C,kPa,"m s-1",mm,kPa,ppb,"W m-2",Wm-2,"umol m-2 s-1"
1,1,1,0,-0.9,0.005142,1.3,0.023,100.62,30.756,-38.7,0,0
1,1,1,1,-0.73,0.005797,1.25,0.023,100.62,28.571,-36.6,0,0
1,1,1,2,-0.81,0.005392,1.19,0.023,100.62,27.448,-34.5,0,0
1,1,1,3,-0.69,0.005955,1.14,0.017,100.54,26.85,-32.4,0,0
1,1,1,4,-0.82,0.005122,1.16,0.017,100.6,26.976,-29.5,0,0
1,1,1,5,-0.75,0.005206,1.17,0.017,100.58,27.334,-26.6,0,0
1,1,1,6,-1.36,0.002487,1.18,0.01,100.57,27.875,-23.7,0,0
1,1,1,7,-0.92,0.004805,1.09,0.01,100.55,27.446,-25.5,0,0
1,1,1,8,-1.14,0.004451,0.99,0.01,100.56,26.65,-27.3,0,0
1,1,1,9,0.5,0.012369,0.88,0.003,100.53,25.252,-29.1,5.4,11.1051
1,1,1,10,-0.74,0.004024,0.91,0.003,100.56,27.843,-18.97,91.03,187.203195
1,1,1,11,-0.12,0.004525,0.94,0.003,100.55,29.401,-8.83,158.54,326.03751
1,1,1,12,0.88,0.007499,0.97,0.053,100.45,30.165,1.3,174.71,359.291115
1,1,1,13,0.63,0.005697,0.95,0.053,100.51,29.491,-3.5,157.93,324.783045
1,1,1,14,0.76,0.005845,0.94,0.053,100.49,28.167,-8.3,101.29,208.302885
1,1,1,15,-0.71,0,0.95,0.003,100.31,26.29,-13.1,18.52,38.08638
1,1,1,16,0.36,0.004478,0.86,0.003,100.42,23.643,-15.5,0,0
1,1,1,17,-0.17,0.003352,0.76,0.003,100.37,20.906,-17.9,0,0
1,1,1,18,-1.8,0,0.62,0,100.21,17.444,-20.3,0,0
1,1,1,19,-1.06,0.003466,0.53,0,100.29,14.129,-18.47,0,0
1,1,1,20,-1.43,0.003186,0.48,0,100.25,11.282,-16.63,0,0
1,1,1,21,-0.44,0.008532,0.46,0.01,100.03,8.612,-14.8,0,0
1,1,1,22,-1.33,0.00281,0.52,0.01,100.17,8.438,-15.1,0,0
1,1,1,23,-0.88,0.003237,0.58,0.01,100.11,9.91,-15.4,0,0
1,2,2,0,0.69,0.009061,0.63,0.38,99.8,12.026,-15.7,0,0
1,2,2,1,-0.04,0.003624,0.74,0.38,99.98,15.844,-12.53,0,0
1,2,2,2,0.33,0.003428,0.82,0.38,99.9,19.299,-9.37,0,0
1,2,2,3,1.56,0.007537,0.9,0.383,99.55,21.628,-6.2,0,0
1,2,2,4,1,0.003333,0.81,0.383,99.74,22.157,-6.33,0,0
1,2,2,5,1.29,0.0034,0.72,0.383,99.66,21.818,-6.47,0,0
1,2,2,6,-1.07,0,0.66,0.123,99.77,21.066,-6.6,0,0
1,2,2,7,0.66,0.003493,0.4,0.123,99.6,18.592,-4.33,0,0
1,2,2,8,-0.21,0.003044,0.16,0.123,99.67,13.997,-2.07,0,0
1,2,2,9,0.26,0.009308,0.11,0,99.8,17.132,0.2,2.82,5.79933
1,2,2,10,-0.63,0.003985,0.22,0,99.78,21.231,8.4,44.72,91.96668
1,2,2,11,-0.19,0.004067,0.36,0,99.79,22.594,16.6,77.46,159.29649
1,2,2,12,1.68,0.010933,0.49,0.025,99.89,23.808,24.8,129.85,267.036525
1,2,2,13,0.73,0.00426,0.63,0.025,99.82,24.63,16.13,117.88,242.42022
1,2,2,14,1.2,0.004471,0.75,0.025,99.85,25.623,7.47,76.4,157.1166
1,2,2,15,1.82,0.005499,0.84,0.054,99.89,26.519,-1.2,12.5,25.70625
1,2,2,16,1.73,0.004593,0.87,0.054,99.89,27.2,-5.9,0,0
1,2,2,17,1.77,0.004498,0.91,0.054,99.89,27.446,-10.6,0,0
1,2,2,18,1.36,0.002285,0.95,0,99.72,27.404,-15.3,0,0
1,2,2,19,1.68,0.004298,0.95,0,99.85,27.12,-23.17,0,0
1,2,2,20,1.53,0.004241,0.94,0,99.8,26.827,-31.03,0,0
1,2,2,21,0.85,0.00186,0.94,0.003,99.64,26.224,-38.9,0,0
1,2,2,22,1.2,0.004292,0.97,0.003,99.7,25.727,-40.13,0,0
1,2,2,23,1.03,0.004333,0.99,0.003,99.68,25.331,-41.37,0,0
1,3,3,0,0.85,0.004362,1.02,0.013,99.63,25.202,-42.6,0,0
1,3,3,1,0.85,0.004393,0.98,0.013,99.64,25.195,-35.13,0,0
1,3,3,2,0.85,0.004424,0.96,0.013,99.63,25.233,-27.67,0,0
1,3,3,3,0.52,0.002972,0.96,0.003,99.64,25.093,-20.2,0,0
1,3,3,4,0.74,0.004393,0.94,0.003,99.63,24.36,-19.83,0,0
1,3,3,5,0.63,0.004291,0.93,0.003,99.64,23.465,-19.47,0,0
1,3,3,6,-0.04,0.001628,0.92,0,99.72,22.618,-19.1,0,0
1,3,3,7,0.33,0.004156,0.91,0,99.66,21.984,-22.7,0,0
1,3,3,8,0.14,0.004182,0.91,0,99.68,21.961,-26.3,0,0
1,3,3,9,1.47,0.01133,0.91,0,99.67,22.344,-29.9,6.28,12.91482
1,3,3,10,0.47,0.00394,1.03,0,99.71,24.618,-20.33,94.25,193.825125
1,3,3,11,0.97,0.004582,1.11,0,99.69,26.571,-10.77,162.78,334.75707
1,3,3,12,0.5,0.00113,1.18,0.074,99.62,28.042,-1.2,176.02,361.98513
1,3,3,13,1.15,0.005555,1.28,0.074,99.66,28.763,-6.87,160.17,329.389605
